Franchise,Homeruns
Los Angeles Angels of Anaheim,150
Milwaukee Brewers,198
Texas Rangers,202
Oakland Athletics,193
New York Mets,138
Cincinnati Reds,140
Los Angeles Dodgers,202
Chicago Cubs,185
Baltimore Orioles,131
Arizona Diamondbacks,198
Florida Marlins,159
New York Yankees,200
Philadelphia Phillies,156
Minnesota Twins,159
Detroit Tigers,128
Washington Nationals,120
San Diego Padres,152
Seattle Mariners,167
Kansas City Royals,137
Houston Astros,207
Pittsburgh Pirates,133
Colorado Rockies,198
Cleveland Indians,206
Chicago White Sox,171
St. Louis Cardinals,197
Boston Red Sox,191
Atlanta Braves,157
San Francisco Giants,232
Toronto Blue Jays,182
Tampa Bay Rays,102
