Franchise,RBIs
Baltimore Orioles,627
New York Mets,565
Cincinnati Reds,584
Washington Nationals,569
Los Angeles Angels of Anaheim,647
Milwaukee Brewers,651
Texas Rangers,672
Oakland Athletics,814
Atlanta Braves,620
Los Angeles Dodgers,698
Chicago Cubs,708
Arizona Diamondbacks,714
Florida Marlins,681
New York Yankees,755
San Francisco Giants,762
Toronto Blue Jays,669
Tampa Bay Rays,487
Kansas City Royals,623
Houston Astros,798
Pittsburgh Pirates,526
Colorado Rockies,780
Cleveland Indians,854
Chicago White Sox,637
St. Louis Cardinals,743
Boston Red Sox,710
San Diego Padres,715
Seattle Mariners,857
Philadelphia Phillies,662
Minnesota Twins,680
Detroit Tigers,637
