Franchise,TeamPricePerHit
New York Mets,76447.33281371785
Cincinnati Reds,44817.1875
Washington Nationals,29062.34718826406
Los Angeles Dodgers,83066.53328402367
Chicago Cubs,60515.79352850539
Los Angeles Angels of Anaheim,23905.52016985138
Milwaukee Brewers,35678.69389373513
Texas Rangers,70636.25401929261
Oakland Athletics,28673.70810055866
Baltimore Orioles,48598.4602917342
Atlanta Braves,80342.04912836767
Philadelphia Phillies,36345.71117779445
Minnesota Twins,24192.87211740042
Detroit Tigers,44699.447626224566
Florida Marlins,20228.601997146932
New York Yankees,86092.70421561852
Kansas City Royals,27897.026831036983
Houston Astros,55567.14082599865
Pittsburgh Pirates,46122.73642030276
Colorado Rockies,52525.25634178905
Arizona Diamondbacks,62019.17101226994
San Francisco Giants,51567.12508591065
Toronto Blue Jays,55945.782379518074
Tampa Bay Rays,44786.206896551725
San Diego Padres,37935.454754601225
Seattle Mariners,45694.61934673367
Cleveland Indians,61570.59271307742
Chicago White Sox,53309.408870967745
St. Louis Cardinals,58145.48887293611
Boston Red Sox,81517.18432203389
