Franchise,Salary,NumStrikeouts,Hits,Homeruns,RBIs,PricePerHit,PricePerHomerun,Wins
Arizona Diamondbacks,80872999,896,1304,198,714,62019.17101226994,408449.4898989899,92
Atlanta Braves,101391666,922,1262,157,620,80342.04912836767,645806.7898089172,88
Baltimore Orioles,59970500,883,1234,131,627,48598.4602917342,457790.0763358779,63
Boston Red Sox,115428333,1051,1416,191,710,81517.18432203389,604336.8219895288,82
Chicago Cubs,78549500,970,1298,185,708,60515.79352850539,424591.8918918919,88
Chicago White Sox,66103667,776,1240,171,637,53309.408870967745,386571.15204678365,83
Cincinnati Reds,57366000,959,1280,140,584,44817.1875,409757.14285714284,66
Cleveland Indians,94634001,1048,1537,206,854,61570.59271307742,459388.354368932,91
Colorado Rockies,78682834,880,1498,198,780,52525.25634178905,397388.0505050505,73
Detroit Tigers,59316167,901,1327,128,637,44699.447626224566,463407.5546875,66
Florida Marlins,28360500,1066,1402,159,681,20228.601997146932,178367.9245283019,93
Houston Astros,82072667,1084,1477,207,798,55567.14082599865,396486.31400966184,65
Kansas City Royals,38470000,809,1379,137,623,27897.026831036983,280802.9197080292,75
Los Angeles Angels of Anaheim,33778500,943,1413,150,647,23905.52016985138,225190.0,86
Los Angeles Dodgers,112305953,1015,1352,202,698,83066.53328402367,555970.0643564357,76
Milwaukee Brewers,44990833,1257,1261,198,651,35678.69389373513,227226.4292929293,68
Minnesota Twins,34620000,1004,1431,159,680,24192.87211740042,217735.84905660377,85
New York Mets,98081928,951,1283,138,565,76447.33281371785,710738.6086956522,82
New York Yankees,124576143,987,1447,200,755,86092.70421561852,622880.715,95
Oakland Athletics,41060750,949,1432,193,814,28673.70810055866,212750.0,102
Philadelphia Phillies,48448833,1043,1333,156,662,36345.71117779445,310569.4423076923,86
Pittsburgh Pirates,51795833,869,1123,133,526,46122.73642030276,389442.3533834586,62
San Diego Padres,49467833,1139,1304,152,715,37935.454754601225,325446.2697368421,79
San Francisco Giants,75030167,1060,1455,232,762,51567.12508591065,323405.8922413793,90
Seattle Mariners,72745834,964,1592,167,857,45694.61934673367,435603.7964071856,116
St. Louis Cardinals,80996666,1050,1393,197,743,58145.48887293611,411150.5888324873,93
Tampa Bay Rays,45458000,868,1015,102,487,44786.206896551725,445666.6666666667,62
Texas Rangers,87871500,865,1244,202,672,70636.25401929261,435007.42574257427,73
Toronto Blue Jays,74295999,976,1328,182,669,55945.782379518074,408219.7747252747,80
Washington Nationals,35659500,918,1227,120,569,29062.34718826406,297162.5,68
