Franchise,NumStrikeouts
Arizona Diamondbacks,896
Atlanta Braves,922
Baltimore Orioles,883
Boston Red Sox,1051
Chicago Cubs,970
Chicago White Sox,776
Cincinnati Reds,959
Cleveland Indians,1048
Colorado Rockies,880
Detroit Tigers,901
Florida Marlins,1066
Houston Astros,1084
Kansas City Royals,809
Los Angeles Angels of Anaheim,943
Los Angeles Dodgers,1015
Milwaukee Brewers,1257
Minnesota Twins,1004
New York Mets,951
New York Yankees,987
Oakland Athletics,949
Philadelphia Phillies,1043
Pittsburgh Pirates,869
San Diego Padres,1139
San Francisco Giants,1060
Seattle Mariners,964
St. Louis Cardinals,1050
Tampa Bay Rays,868
Texas Rangers,865
Toronto Blue Jays,976
Washington Nationals,918
