Franchise,Wins
Arizona Diamondbacks,92
Atlanta Braves,88
Baltimore Orioles,63
Boston Red Sox,82
Chicago Cubs,88
Chicago White Sox,83
Cincinnati Reds,66
Cleveland Indians,91
Colorado Rockies,73
Detroit Tigers,66
Florida Marlins,93
Houston Astros,65
Kansas City Royals,75
Los Angeles Angels of Anaheim,86
Los Angeles Dodgers,76
Milwaukee Brewers,68
Minnesota Twins,85
New York Mets,82
New York Yankees,95
Oakland Athletics,102
Philadelphia Phillies,86
Pittsburgh Pirates,62
San Diego Padres,79
San Francisco Giants,90
Seattle Mariners,116
St. Louis Cardinals,93
Tampa Bay Rays,62
Texas Rangers,73
Toronto Blue Jays,80
Washington Nationals,68
